Primary site	Site subtype 1	Site subtype 2	Site subtype 3	CALOHA
adrenal_gland	adrenal_gland	ns	ns	TS-0016
adrenal_gland	extraadrenal	ns	ns	TS-2001
adrenal_gland	ns	ns	ns	TS-0016
autonomic_ganglia	abdomen	ns	ns	TS-0001
autonomic_ganglia	adrenal_gland	ns	ns	TS-0016
autonomic_ganglia	bladder	ns	ns	TS-1090
autonomic_ganglia	cervical	ns	ns	TS-2485
autonomic_ganglia	chest	ns	ns	TS-1039
autonomic_ganglia	extraadrenal	ns	ns	TS-2001
autonomic_ganglia	head_neck	carotid_body	ns	TS-2469
autonomic_ganglia	head_neck	jugular_fossa_and_tympanic_cavity	ns	TS-2356
autonomic_ganglia	head_neck	ns	ns	TS-2356
autonomic_ganglia	mediastinum	ns	ns	TS-2338
autonomic_ganglia	ns	ns	ns	TS-2340
autonomic_ganglia	para_aortic	ns	ns	TS-2484
autonomic_ganglia	paraspinal	ns	ns	TS-2001
autonomic_ganglia	pelvis	ns	ns	TS-2227
autonomic_ganglia	retroperitoneum	ns	ns	TS-2337
autonomic_ganglia	sinonasal_and_nasal_cavity	ns	ns	TS-2456
autonomic_ganglia	small_intestine	ns	ns	TS-0942
autonomic_ganglia	subcutaneous	ns	ns	TS-2001
biliary_tract	bile_duct	ns	ns	TS-0075
biliary_tract	gallbladder	ns	ns	TS-0394
biliary_tract	ns	ns	ns	TS-1308
bone	acetabulum	ns	ns	TS-2413
bone	calcaneus	ns	ns	TS-2448
bone	cranium	ns	ns	TS-2344
bone	extraskeletal	ns	ns	TS-2090
bone	femur	ns	ns	TS-0322
bone	fibula	ns	ns	TS-2203
bone	frontal	ns	ns	TS-2414
bone	hip	ns	ns	TS-2226
bone	humerus	ns	ns	TS-2202
bone	ilium	ns	ns	TS-2200
bone	ischium	ns	ns	TS-2451
bone	knee	ns	ns	TS-2220
bone	mandible	ns	ns	TS-2225
bone	maxilla	ns	ns	TS-2217
bone	metacarpus	ns	ns	TS-2218
bone	metatarsus	ns	ns	TS-2221
bone	ns	ns	ns	TS-0088
bone	patella	ns	ns	TS-2416
bone	pelvis	ns	ns	TS-2227
bone	phalanx	ns	ns	TS-2211
bone	radius	ns	ns	TS-2199
bone	rib	ns	ns	TS-2209
bone	sacrum	ns	ns	TS-2201
bone	scapula	ns	ns	TS-0897
bone	skull	ns	ns	TS-2344
bone	sternum	ns	ns	TS-0972
bone	talus	ns	ns	TS-2417
bone	tibia	ns	ns	TS-1048
bone	ulna	ns	ns	TS-2452
bone	vertebrae	ns	ns	TS-2352
breast	extramammary	ns	ns	TS-2090
breast	ns	ns	ns	TS-2083
central_nervous_system	basal_ganglia	ns	ns	TS-1149
central_nervous_system	brain	ns	ns	TS-0095
central_nervous_system	brainstem	ns	ns	TS-0093
central_nervous_system	caudate_nucleus	ns	ns	TS-0121
central_nervous_system	cerebellum	ns	ns	TS-0125
central_nervous_system	cerebral_cortex	ns	ns	TS-0091
central_nervous_system	cerebral_hemisphere	ns	ns	TS-2007
central_nervous_system	cerebrum	ns	ns	TS-1018
central_nervous_system	choroid_plexus	ns	ns	TS-0145
central_nervous_system	cingulate_gyrus	ns	ns	TS-2453
central_nervous_system	corpus_callosum	ns	ns	TS-0180
central_nervous_system	diencephalon	ns	ns	TS-0199
central_nervous_system	fourth_ventricle	ns	ns	TS-2015
central_nervous_system	frontal_lobe	ns	ns	TS-0389
central_nervous_system	frontobasal	ns	ns	TS-1018
central_nervous_system	frontoparietal	ns	ns	TS-1018
central_nervous_system	frontotemporal	ns	ns	TS-1018
central_nervous_system	infratentorial	ns	ns	TS-2354
central_nervous_system	intraventricular	ns	ns	TS-1295
central_nervous_system	lateral_ventricle	ns	ns	TS-1230
central_nervous_system	medulla	ns	ns	TS-0150
central_nervous_system	midbrain	ns	ns	TS-0630
central_nervous_system	middle_cerebellar_peduncle	ns	ns	TS-2415
central_nervous_system	ns	ns	ns	TS-0150
central_nervous_system	occipital_lobe	ns	ns	TS-0693
central_nervous_system	optic_nerve	ns	ns	TS-0713
central_nervous_system	parietal_lobe	ns	ns	TS-0747
central_nervous_system	parietooccipital	ns	ns	TS-1018
central_nervous_system	pineal_gland	ns	ns	TS-0789
central_nervous_system	posterior_fossa	ns	ns	TS-2354
central_nervous_system	sella_turcica	ns	ns	TS-2342
central_nervous_system	spinal_cord	ns	ns	TS-0953
central_nervous_system	supratentorial	ns	ns	TS-1018
central_nervous_system	temporal_lobe	ns	ns	TS-1020
central_nervous_system	temporobasal	ns	ns	TS-1018
central_nervous_system	temporooccipital	ns	ns	TS-1018
central_nervous_system	temporoparietal	ns	ns	TS-1018
central_nervous_system	thalamus	ns	ns	TS-1031
central_nervous_system	third_ventricle	ns	ns	TS-2058
cervix	ns	ns	ns	TS-0134
endometrium	ns	ns	ns	TS-0276
endometrium	ovary	ns	ns	TS-0730
eye	conjunctiva	ns	ns	TS-2232
eye	ns	ns	ns	TS-0309
eye	retina	ns	ns	TS-0865
eye	uveal_tract	ns	ns	TS-2228
fallopian_tube	ns	ns	ns	TS-0732
gastrointestinal_tract_(site_indeterminate)	lymph_node	ns	ns	TS-0579
gastrointestinal_tract_(site_indeterminate)	ns	ns	ns	TS-0407
genital_tract	extragonadal	brain	ns	TS-0095
genital_tract	extragonadal	mediastinum	ns	TS-2338
genital_tract	extragonadal	ns	ns	TS-2090
genital_tract	extragonadal	pineal_gland	ns	TS-0789
genital_tract	extragonadal	retroperitoneum	ns	TS-2337
genital_tract	extragonadal	spinal_cord	ns	TS-0953
genital_tract	ns	ns	ns	TS-1318
haematopoietic_and_lymphoid_tissue	abdomen	ns	ns	TS-0001
haematopoietic_and_lymphoid_tissue	adrenal_gland	ns	ns	TS-0016
haematopoietic_and_lymphoid_tissue	axilla	ns	ns	TS-2208
haematopoietic_and_lymphoid_tissue	breast	ns	ns	TS-2083
haematopoietic_and_lymphoid_tissue	central_nervous_system	ns	ns	TS-0150
haematopoietic_and_lymphoid_tissue	extranodal	ns	ns	TS-2090
haematopoietic_and_lymphoid_tissue	eye	ns	ns	TS-0309
haematopoietic_and_lymphoid_tissue	gastrointestinal_tract_(site_indeterminate)	ns	ns	TS-0407
haematopoietic_and_lymphoid_tissue	groin	ns	ns	TS-2339
haematopoietic_and_lymphoid_tissue	head_neck	ns	ns	TS-2356
haematopoietic_and_lymphoid_tissue	intraabdominal	ns	ns	TS-0001
haematopoietic_and_lymphoid_tissue	kidney	ns	ns	TS-0510
haematopoietic_and_lymphoid_tissue	large_intestine	ns	ns	TS-1306
haematopoietic_and_lymphoid_tissue	leg	ns	ns	TS-2206
haematopoietic_and_lymphoid_tissue	liver	ns	ns	TS-0564
haematopoietic_and_lymphoid_tissue	lung	ns	ns	TS-0568
haematopoietic_and_lymphoid_tissue	lymph_node	ns	ns	TS-0579
haematopoietic_and_lymphoid_tissue	mediastinum	ns	ns	TS-2338
haematopoietic_and_lymphoid_tissue	ns	ns	ns	TS-0449
haematopoietic_and_lymphoid_tissue	ocular_adnexa	ns	ns	TS-2454
haematopoietic_and_lymphoid_tissue	orbit	ns	ns	TS-2497
haematopoietic_and_lymphoid_tissue	ovary	ns	ns	TS-0730
haematopoietic_and_lymphoid_tissue	pharynx	ns	ns	TS-0785
haematopoietic_and_lymphoid_tissue	pleura	ns	ns	TS-2081
haematopoietic_and_lymphoid_tissue	retroperitoneum	ns	ns	TS-2337
haematopoietic_and_lymphoid_tissue	salivary_gland	ns	ns	TS-0892
haematopoietic_and_lymphoid_tissue	sinonasal_and_nasal_cavity	ns	ns	TS-2456
haematopoietic_and_lymphoid_tissue	skin	ns	ns	TS-0934
haematopoietic_and_lymphoid_tissue	small_intestine	ns	ns	TS-0942
haematopoietic_and_lymphoid_tissue	soft_tissue	ns	ns	TS-2090
haematopoietic_and_lymphoid_tissue	spleen	ns	ns	TS-0956
haematopoietic_and_lymphoid_tissue	stomach	ns	ns	TS-0980
haematopoietic_and_lymphoid_tissue	testis	ns	ns	TS-1030
haematopoietic_and_lymphoid_tissue	thyroid	ns	ns	TS-1047
haematopoietic_and_lymphoid_tissue	tongue	ns	ns	TS-1050
haematopoietic_and_lymphoid_tissue	tonsil	ns	ns	TS-1053
haematopoietic_and_lymphoid_tissue	trachea	ns	ns	TS-1060
kidney	ns	ns	ns	TS-0510
large_intestine	anus	ns	ns	TS-2005
large_intestine	appendix	ns	ns	TS-1267
large_intestine	caecum	ns	ns	TS-0122
large_intestine	colon	ascending	ns	TS-0057
large_intestine	colon	descending	ns	TS-2010
large_intestine	colon	left	ns	TS-0202
large_intestine	colon	ns	ns	TS-0158
large_intestine	colon	right	ns	TS-2457
large_intestine	colon	sigmoid	ns	TS-2044
large_intestine	colon	transverse	ns	TS-2052
large_intestine	left	ns	ns	TS-1306
large_intestine	ns	ns	ns	TS-1306
large_intestine	rectum	ns	ns	TS-1180
large_intestine	right	ns	ns	TS-1306
liver	ns	ns	ns	TS-0564
lung	bronchus	ns	ns	TS-1229
lung	left_bronchus	ns	ns	TS-1229
lung	left_lower_lobe	ns	ns	TS-0568
lung	left	ns	ns	TS-0568
lung	left_upper_lobe	ns	ns	TS-0568
lung	lower_lobe	ns	ns	TS-0568
lung	middle_lobe	ns	ns	TS-0568
lung	ns	ns	ns	TS-0568
lung	right_bronchus	ns	ns	TS-1229
lung	right_lower_lobe	ns	ns	TS-0568
lung	right_middle_lobe	ns	ns	TS-0568
lung	right	ns	ns	TS-0568
lung	right_upper_lobe	ns	ns	TS-0568
lung	upper_lobe	ns	ns	TS-0568
meninges	ns	ns	ns	TS-1177
ns	ns	ns	ns	TS-2090
oesophagus	lower_third	ns	ns	TS-0700
oesophagus	middle_third	ns	ns	TS-0700
oesophagus	ns	ns	ns	TS-0700
oesophagus	upper_third	ns	ns	TS-0700
ovary	ns	ns	ns	TS-0730
